FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
40,0,0,33.35,54.65,72.55,66.07,60.38,57.41,70.00,53.45,53.23,8.20,1748,1748,1748,1748,2228,2228,2228,2112,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.35,43.75,54.84,40.74,40.00,36.36,54.24,52.38,46.77,25.00,1268,1268,1268,1268,2228,2228,2228,2500,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.38,52.16,64.81,59.65,54.55,52.83,55.93,52.54,50.82,27.42,999,999,999,999,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.38,49.56,63.64,54.55,50.94,50.00,65.08,45.45,38.98,29.51,1268,1268,1268,1268,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,1,0,50.00,48.60,68.33,57.14,54.55,50.91,64.41,39.34,36.67,20.00,1623,1623,1623,1623,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,1,0,50.00,49.13,67.24,58.18,55.56,50.00,63.79,38.98,34.48,25.42,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,49.97,50.96,68.33,55.93,51.79,55.17,65.00,50.82,44.44,19.67,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,49.97,46.19,65.38,57.14,49.06,46.15,58.62,40.00,44.07,10.34,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,50.01,50.64,61.82,55.17,50.91,52.54,55.00,57.81,46.67,26.23,1392,1392,1392,1392,2228,2228,2228,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,50.01,47.05,63.16,54.55,50.91,46.30,50.00,65.52,32.76,18.03,1508,1508,1508,1508,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.39,49.79,64.81,58.18,55.17,53.57,65.00,54.10,32.76,14.75,1623,1623,1623,1623,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
